Reference, Quantity, Value, Footprint, Datasheet, mfg,mfg#, vend1,vend1#
C1 ,1,1000pF,SM0805,,avx,08052C102KAT2A ,DIGI,478-1339-1-ND
C3 ,1,DNP,SM0805,,avx,08055C104KAT2A,DIGI,478-1395-1-ND
C5 ,1,220pf,SM0805,,avx,08051A221JAT2A,DIGI,478-1286-1-ND
C2 C6 C8 C9 ,4,0.033uF,SM0805,,tdk,CGA4J2C0G1H333J125AA,DIGI,445-6950-1-ND
C4 C7 ,2,0.1uF,SM0805,,avx,08055C104KAT2A,DIGI,478-1395-1-ND
D1 D2 ,2,LED,LEDs:LED_0805,,lite-on,LTST-C170TBKT,DIGI,160-1579-1-ND
P4 ,1,CONN_02X03,Socket_Strips:Socket_Strip_Straight_2x03,,dnp,dnp,dnp,dnp
P8 ,1,CONN_02X05,Socket_Strips:Socket_Strip_Straight_2x05,,dnp,dnp,dnp,dnp
Q1 ,1,FDS2734,SO8E_ST,,ST,VNS14NV04,DIGI,497-11123-1-ND
R10 ,1,117.5,SM0805,,Panasonic,ERJ-6ENF1180V,DIGI,P118CCT-ND
R11 ,1,4.7k,SM0805,,vishay,CRCW08054K70FKEA,DIGI,541-4.70KCCT-ND
R12 R13 ,2,100k,SM0805,,vishay,CRCW0805100KFKEA,DIGI,541-100KCCT-ND
R14 ,1,470k,SM0805,,vishay,CRCW0805470KFKEA,DIGI,541-470KCCT-ND
R15 R8 ,2,1k,SM0805,,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND
R17 R19 ,2,6.8k,rsuEFI_Lib:R_0805,,vishay,CRCW08056K80FKEA,DIGI,541-6.80KCCT-ND
R18 R20 ,2,10k,rsuEFI_Lib:R_0805,,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND
R2 ,1,21k6,SM0805,,vishay,CRCW080521K5FKEA,DIGI,541-21.5KCCT-ND
R21 ,1,4.7k,rsuEFI_Lib:R_0805,,vishay,CRCW08054K70FKEA,DIGI,541-4.70KCCT-ND
R22 ,1,1k,rsuEFI_Lib:R_0805,,Panasonic,ERA-6AEB102V,DIGI,P1.0KDACT-ND
R3 ,1,0R,SM0805,,Matsushita,ERJ6GEY0R00V,DIGI,P0.0ADKR-ND
R4 ,1,61.9,SM0805,,vishay,CRCW080561R9FKEA,DIGI,541-61.9CCT-ND
R1 R16 R5 R7 ,4,10k,SM0805,,BOURNS,CR0805-FX-1002ELF,DIGI,CR0805-FX-1002ELFCT-ND
R6 ,1,6.8k,SM0805,,vishay,CRCW08056K80FKEA,DIGI,541-6.80KCCT-ND
R9 ,1,82.5,SM0805,,vishay,CRCW080582R5FKEA,DIGI,541-82.5CCT-ND
U1 ,1,CJ125,SOIC-24_7.5x15.4mm_Pitch1.27mm,,bosh,CJ125-1267379259,future,1267379259
W1 W2 ,2,TEST,R_0603,,dnp,dnp,dnp,dnp